time,x,y,z
1766255414.7258418,5.1159196,0.29833966,-3.9688802
1766255414.8257825,5.1154184,0.31866777,-3.9690146
1766255414.9257176,5.114899,0.33971918,-3.969154
1766255415.0258095,5.1143622,0.3614937,-3.9692981
1766255415.125639,5.1138077,0.3839905,-3.969447
1766255415.2256749,5.1132355,0.4072083,-3.9696007
1766255415.3258762,5.112645,0.4311449,-3.9697592
1766255415.4257245,5.112037,0.45579767,-3.9699223
1766255415.5257318,5.111412,0.48116347,-3.9700902
1766255415.625638,5.1107693,0.5072383,-3.9702628
1766255415.7257836,5.110109,0.53401786,-3.97044
1766255415.8255553,5.1094313,0.56149715,-3.9706218
1766255415.925717,5.108737,0.5896706,-3.9708083
1766255416.025746,5.108025,0.61853236,-3.9709995
1766255416.126329,5.107297,0.64807546,-3.971195
1766255416.2257447,5.1065516,0.678293,-3.971395
1766255416.325625,5.10579,0.70917726,-3.9715993
1766255416.425554,5.1050124,0.74072015,-3.9718082
1766255416.5258677,5.104219,0.77291316,-3.9720213
1766255416.625568,5.1034093,0.8057473,-3.9722385
1766255416.7257476,5.1025844,0.8392126,-3.97246
1766255416.8257713,5.1017437,0.87329936,-3.9726858
1766255416.9254885,5.1008883,0.9079971,-3.9729154
1766255417.0254953,5.100018,0.943295,-3.973149
1766255417.1255891,5.0991335,0.9791817,-3.9733865
1766255417.2255106,5.098234,1.0156457,-3.9736278
1766255417.3259897,5.0973215,1.0526747,-3.973873
1766255417.4256294,5.096395,1.0902562,-3.9741218
1766255417.5258644,5.095455,1.1283776,-3.974374
1766255417.6256015,5.094502,1.1670254,-3.9746299
1766255417.7257211,5.0935364,1.2061864,-3.974889
1766255417.825623,5.092559,1.2458466,-3.9751515
1766255417.9256063,5.091569,1.2859917,-3.9754174
1766255418.025637,5.0905676,1.3266071,-3.975686
1766255418.1257663,5.089555,1.367678,-3.9759579
1766255418.2255294,5.0885315,1.4091895,-3.9762328
1766255418.325767,5.0874977,1.4511259,-3.9765103
1766255418.4255188,5.0864534,1.4934716,-3.9767907
1766255418.525672,5.0853996,1.5362113,-3.9770734
1766255418.6256337,5.0843368,1.5793276,-3.9773588
1766255418.7257376,5.083265,1.6228049,-3.9776466
1766255418.825422,5.0821843,1.6666262,-3.9779367
1766255418.9256778,5.0810957,1.710775,-3.9782288
1766255419.0254803,5.08,1.7552339,-3.9785233
1766255419.1256516,5.0788965,1.7999861,-3.9788194
1766255419.2255719,5.0777864,1.8450137,-3.9791174
1766255419.3257408,5.0766697,1.8902991,-3.979417
1766255419.4255338,5.075547,1.9358245,-3.9797184
1766255419.5255985,5.0744195,1.9815725,-3.9800212
1766255419.62549,5.0732865,2.0275245,-3.9803255
1766255419.7256932,5.072149,2.073663,-3.9806309
1766255419.8258917,5.0710073,2.119969,-3.9809372
1766255419.925462,5.069862,2.166424,-3.9812448
1766255420.0254931,5.068713,2.21301,-3.981553
1766255420.1254685,5.067562,2.2597086,-3.9818623
1766255420.225606,5.066408,2.306501,-3.982172
1766255420.3257232,5.065253,2.3533685,-3.9824822
1766255420.4255204,5.064096,2.4002922,-3.9827929
1766255420.5255282,5.062938,2.4472532,-3.9831035
1766255420.62539,5.06178,2.4942331,-3.9834146
1766255420.7254703,5.0606213,2.541213,-3.9837255
1766255420.8256671,5.0594635,2.5881743,-3.9840362
1766255420.9255426,5.0583067,2.635098,-3.9843469
1766255421.025519,5.0571513,2.681965,-3.984657
1766255421.1257052,5.0559974,2.7287574,-3.9849668
1766255421.2254708,5.0548463,2.7754557,-3.985276
1766255421.325466,5.0536976,2.8220425,-3.9855843
