time,x_est,y_est,z_est,x_sp,y_sp,z_sp
15980,-0.173059,-0.0154997,-1.19687,0.773851,0.754667,-3.98232
15980.1,-0.172296,-0.0161548,-1.19667,0.791801,0.772898,-3.98258
15980.1,-0.171549,-0.016804,-1.19646,0.80984,0.791219,-3.98284
15980.1,-0.170817,-0.0174468,-1.19626,0.827959,0.809621,-3.9831
15980.1,-0.168947,-0.0190163,-1.19546,0.846151,0.828098,-3.98336
15980.1,-0.168045,-0.0197842,-1.19509,0.864409,0.846642,-3.98362
15980.1,-0.167165,-0.0205412,-1.19473,0.882726,0.865246,-3.98389
15980.1,-0.166306,-0.0212877,-1.19438,0.901095,0.883902,-3.98415
15980.1,-0.16465,-0.0227508,-1.1937,0.919508,0.902603,-3.98442
15980.1,-0.163853,-0.0234674,-1.19337,0.937958,0.921342,-3.98468
15980.1,-0.163076,-0.0241742,-1.19305,0.956438,0.940111,-3.98495
15980.2,-0.162325,-0.0248716,-1.19275,0.97494,0.958902,-3.98522
15980.2,-0.161594,-0.025559,-1.19247,0.993457,0.977709,-3.98548
15980.2,-0.160189,-0.0269045,-1.19193,1.01198,0.996523,-3.98575
15980.2,-0.159515,-0.0275633,-1.19168,1.03051,1.01534,-3.98602
15980.2,-0.158859,-0.0282131,-1.19143,1.04902,1.03414,-3.98629
15980.2,-0.157738,-0.0297008,-1.19207,1.06752,1.05293,-3.98655
15980.2,-0.157273,-0.0305334,-1.19291,1.086,1.0717,-3.98682
15980.2,-0.156833,-0.0313565,-1.19373,1.10445,1.09044,-3.98708
15980.2,-0.15641,-0.0321656,-1.19454,1.12287,1.10914,-3.98735
15980.2,-0.155613,-0.0337424,-1.19613,1.14124,1.1278,-3.98762
15980.3,-0.155239,-0.0345108,-1.19692,1.15955,1.1464,-3.98788
15980.3,-0.154882,-0.0352665,-1.19769,1.17781,1.16495,-3.98814
15980.3,-0.154541,-0.03601,-1.19845,1.196,1.18342,-3.9884
15980.3,-0.153905,-0.0374612,-1.19994,1.21412,1.20183,-3.98867
15980.3,-0.153616,-0.0381684,-1.20068,1.23216,1.22015,-3.98893
15980.3,-0.153343,-0.038864,-1.20141,1.25011,1.23838,-3.98919
15980.3,-0.153084,-0.0395484,-1.20213,1.26797,1.25651,-3.98944
15980.3,-0.15261,-0.0408838,-1.20353,1.28572,1.27455,-3.9897
15980.3,-0.152556,-0.0415781,-1.20458,1.30337,1.29247,-3.98995
15980.3,-0.152513,-0.0422648,-1.20561,1.3209,1.31027,-3.99021
15980.4,-0.152479,-0.0429442,-1.20663,1.3383,1.32795,-3.99046
15980.4,-0.152436,-0.0442805,-1.2086,1.35558,1.3455,-3.99071
